"Vout","Iout"
3.765,1.27e-05
3.77,1.274e-05
3.775,1.278e-05
3.78,1.282e-05
3.785,1.286e-05
3.79,1.29e-05
3.795,1.295e-05
3.8,1.299e-05
3.805,1.304e-05
3.81,1.308e-05
3.815,1.313e-05
3.82,1.316e-05
3.825,1.32e-05
3.83,1.324e-05
3.835,1.329e-05
3.84,1.334e-05
3.845,1.338e-05
3.85,1.342e-05
3.855,1.347e-05
3.86,1.351e-05
3.865,1.356e-05
3.87,1.36e-05
3.875,1.365e-05
3.88,1.37e-05
3.885,1.372e-05
3.89,1.378e-05
3.895,1.382e-05
3.9,1.387e-05
3.905,1.391e-05
3.91,1.396e-05
3.915,1.401e-05
3.92,1.407e-05
3.925,1.412e-05
3.93,1.416e-05
3.935,1.421e-05
3.94,1.427e-05
3.945,1.431e-05
3.95,1.436e-05
3.955,1.441e-05
3.96,1.445e-05
3.965,1.449e-05
3.97,1.455e-05
3.975,1.46e-05
3.98,1.465e-05
3.985,1.469e-05
3.99,1.475e-05
3.995,1.48e-05
4.0,1.486e-05
4.005,1.497e-05
4.01,1.503e-05
4.015,1.508e-05
4.02,1.514e-05
4.025,1.519e-05
4.03,1.525e-05
4.035,1.53e-05
4.04,1.535e-05
4.045,1.541e-05
4.05,1.547e-05
4.055,1.551e-05
4.06,1.559e-05
4.065,1.565e-05
4.07,1.57e-05
4.075,1.576e-05
4.08,1.582e-05
4.085,1.588e-05
4.09,1.594e-05
4.095,1.6e-05
4.1,1.606e-05
4.105,1.613e-05
4.11,1.619e-05
4.115,1.625e-05
4.12,1.632e-05
4.125,1.638e-05
4.13,1.645e-05
4.135,1.651e-05
4.14,1.659e-05
4.145,1.665e-05
4.15,1.672e-05
4.155,1.679e-05
4.16,1.686e-05
4.165,1.694e-05
4.17,1.701e-05
4.175,1.708e-05
4.18,1.715e-05
4.185,1.723e-05
4.19,1.731e-05
4.195,1.738e-05
4.2,1.746e-05
4.205,1.754e-05
4.21,1.763e-05
4.215,1.772e-05
4.22,1.78e-05
4.225,1.789e-05
4.23,1.798e-05
4.235,1.807e-05
4.24,1.816e-05
4.245,1.825e-05
4.25,1.835e-05
4.255,1.845e-05
4.26,1.855e-05
4.265,1.866e-05
4.27,1.876e-05
4.275,1.887e-05
4.28,1.899e-05
4.285,1.91e-05
4.29,1.921e-05
4.295,1.934e-05
4.3,1.946e-05
4.305,1.958e-05
4.31,1.971e-05
4.315,1.984e-05
4.32,2.04e-05
4.325,2.05e-05
4.33,2.06e-05
4.335,2.08e-05
4.34,2.1e-05
4.345,2.11e-05
4.35,2.13e-05
4.355,2.14e-05
4.36,2.16e-05
4.365,2.18e-05
4.37,2.2e-05
4.375,2.22e-05
4.38,2.23e-05
4.385,2.26e-05
4.39,2.28e-05
4.395,2.3e-05
4.4,2.32e-05
4.405,2.34e-05
4.41,2.36e-05
4.415,2.39e-05
4.42,2.41e-05
4.425,2.44e-05
4.43,2.46e-05
4.435,2.49e-05
4.44,2.51e-05
4.445,2.54e-05
4.45,2.57e-05
4.455,2.6e-05
4.46,2.63e-05
4.465,2.66e-05
4.47,2.69e-05
4.475,2.72e-05
4.48,2.75e-05
4.485,2.79e-05
4.49,2.82e-05
4.495,2.86e-05
4.5,2.9e-05
4.505,2.93e-05
4.51,2.97e-05
4.515,3.01e-05
4.52,3.05e-05
4.525,3.09e-05
4.53,3.13e-05
4.535,3.18e-05
4.54,3.22e-05
4.545,3.26e-05
4.55,3.3e-05
4.555,3.35e-05
4.56,3.4e-05
4.565,3.44e-05
4.57,3.49e-05
4.575,3.54e-05
4.58,3.59e-05
4.585,3.64e-05
4.59,3.69e-05
4.595,3.74e-05
4.6,3.8e-05
4.605,3.86e-05
4.61,3.91e-05
4.615,3.97e-05
4.62,4.02e-05
4.625,4.08e-05
4.63,4.14e-05
4.635,4.2e-05
4.64,4.26e-05
4.645,4.32e-05
4.65,4.38e-05
4.655,4.45e-05
4.66,4.51e-05
4.665,4.58e-05
4.67,4.64e-05
4.675,4.71e-05
4.68,4.78e-05
4.685,4.85e-05
4.69,4.92e-05
4.695,4.98e-05
4.7,5.06e-05
4.705,5.13e-05
4.71,5.2e-05
4.715,5.28e-05
4.72,5.35e-05
4.725,5.42e-05
4.73,5.5e-05
4.735,5.58e-05
4.74,5.66e-05
4.745,5.74e-05
4.75,5.82e-05
4.755,5.9e-05
4.76,5.98e-05
4.765,6.06e-05
4.77,6.15e-05
4.775,6.23e-05
4.78,6.32e-05
4.785,6.41e-05
4.79,6.5e-05
4.795,6.58e-05
4.8,6.68e-05
4.805,6.76e-05
4.81,6.85e-05
4.815,6.94e-05
4.82,7.03e-05
4.825,7.13e-05
4.83,7.22e-05
4.835,7.31e-05
4.84,7.4e-05
4.845,7.5e-05
4.85,7.59e-05
4.855,7.69e-05
4.86,7.79e-05
4.865,7.89e-05
4.87,7.98e-05
4.875,8.08e-05
4.88,8.18e-05
4.885,8.28e-05
4.89,8.38e-05
4.895,8.49e-05
4.9,8.59e-05
4.905,8.7e-05
4.91,8.81e-05
4.915,8.91e-05
4.92,9.02e-05
4.925,9.13e-05
4.93,9.24e-05
4.935,9.35e-05
4.94,9.46e-05
4.945,9.57e-05
4.95,9.68e-05
4.955,9.8e-05
4.96,9.91e-05
4.965,0.0001003
4.97,0.0001014
4.975,0.0001026
4.98,0.0001038
4.985,0.0001049
4.99,0.0001061
4.995,0.0001074
5.0,0.0001086
