Vout,Iout
4.54,3.21E-05
4.545,3.26E-05
4.55,3.30E-05
4.555,3.34E-05
4.56,3.39E-05
4.565,3.44E-05
4.57,3.49E-05
4.575,3.54E-05
4.58,3.59E-05
4.585,3.64E-05
4.59,3.69E-05
4.595,3.74E-05
4.6,3.80E-05
4.605,3.85E-05
4.61,3.90E-05
4.615,3.96E-05
4.62,4.02E-05
4.625,4.08E-05
4.63,4.13E-05
4.635,4.20E-05
4.64,4.25E-05
4.645,4.32E-05
4.65,4.38E-05
4.655,4.44E-05
4.66,4.50E-05
4.665,4.57E-05
4.67,4.64E-05
4.675,4.70E-05
4.68,4.77E-05
4.685,4.84E-05
4.69,4.91E-05
4.695,4.98E-05
4.7,5.05E-05
4.705,5.13E-05
4.71,5.20E-05
4.715,5.27E-05
4.72,5.35E-05
4.725,5.42E-05
4.73,5.50E-05
4.735,5.57E-05
4.74,5.65E-05
4.745,5.74E-05
4.75,5.81E-05
4.755,5.89E-05
4.76,5.98E-05
4.765,6.06E-05
4.77,6.14E-05
4.775,6.23E-05
4.78,6.31E-05
4.785,6.40E-05
4.79,6.49E-05
4.795,6.58E-05
4.8,6.67E-05
4.805,6.76E-05
4.81,6.85E-05
4.815,6.94E-05
4.82,7.02E-05
4.825,7.12E-05
4.83,7.21E-05
4.835,7.30E-05
4.84,7.40E-05
4.845,7.49E-05
4.85,7.59E-05
4.855,7.69E-05
4.86,7.78E-05
4.865,7.88E-05
4.87,7.98E-05
4.875,8.08E-05
4.88,8.18E-05
4.885,8.28E-05
4.89,8.38E-05
4.895,8.49E-05
4.9,8.59E-05
4.905,8.70E-05
4.91,8.80E-05
4.915,8.91E-05
4.92,9.02E-05
4.925,9.12E-05
4.93,9.23E-05
4.935,9.34E-05
4.94,9.46E-05
4.945,9.57E-05
4.95,9.68E-05
4.955,9.79E-05
4.96,9.90E-05
4.965,0.0001002
4.97,0.0001014
4.975,0.0001025
4.98,0.0001037
4.985,0.0001049
4.99,0.0001061
4.995,0.0001073
5,0.0001085
